SubmissionID	Problem_index	Participant_country	Participant_color	Language	Time	Memory
29614498_63995951	1	Japan	black	GNU C++17	30	8
29614498_63997617	2	Japan	black	GNU C++17	46	8
29614498_63999164	3	Japan	black	GNU C++17	46	504
29614498_64002898	4	Japan	black	GNU C++17	296	49340
29614498_64006910	5	Japan	black	GNU C++17	31	12
29614498_64010477	6	Japan	black	GNU C++17	31	280
29612723_63995957	1	-	violet	GNU C++17	31	4
29612723_63998088	2	-	violet	GNU C++17	15	8
29612723_64000498	3	-	violet	GNU C++17	30	1064
29612723_64003958	4	-	violet	GNU C++17	327	49392
29612723_64015295	5	-	violet	GNU C++17	30	12
29612723_64009886	6	-	violet	GNU C++14	31	4
29613216_63997656	1	-	black	GNU C++11	31	4
29613216_64001465	2	-	black	GNU C++11	31	8
29613216_64005851	3	-	black	GNU C++11	31	500
29613216_64002526	4	-	black	GNU C++11	109	67128
29613216_64016337	5	-	black	GNU C++11	31	8
29613216_64014319	6	-	black	GNU C++11	31	0
29565091_63996018	1	-	blue	GNU C++11	31	4
29565091_63998805	2	-	blue	GNU C++11	15	1960
29565091_64003393	3	-	blue	GNU C++11	31	9792
29565091_64016634	4	-	blue	GNU C++14	577	126064
29565091_64021964	5	-	blue	GNU C++11	30	8
29565091_64002324	6	-	blue	GNU C++11	31	8
29617008_63998793	1	China	blue	GNU C++11	30	4
29617008_64003870	2	China	blue	GNU C++11	15	4
29617008_64010042	3	China	blue	GNU C++11	46	500
29617008_64013877	4	China	blue	GNU C++17	311	49332
29617008_64020329	5	China	blue	GNU C++17	31	20
29617008_64004647	6	China	blue	GNU C++11	15	8
29599371_63996004	1	Indonesia	violet	GNU C++17	15	8
29599371_63998306	2	Indonesia	violet	GNU C++17	31	8
29599371_64000573	3	Indonesia	violet	GNU C++17	31	4172
29599371_64004966	4	Indonesia	violet	GNU C++17	561	73948
29599371_64023633	5	Indonesia	violet	GNU C++17	31	12
29599371_64015739	6	Indonesia	violet	GNU C++17	31	8
29615081_64003787	1	-	black	GNU C++14	15	4112
29615081_64008480	2	-	black	GNU C++14	31	4112
29615081_64010656	3	-	black	GNU C++14	46	4604
29615081_64016399	4	-	black	GNU C++14	343	98188
29615081_64021101	5	-	black	GNU C++14	31	4116
29615081_64002490	6	-	black	GNU C++14	31	4112
29616244_63998279	1	-	blue	GNU C++14	15	8
29616244_64001186	2	-	blue	GNU C++14	15	144
29616244_64003837	3	-	blue	GNU C++14	31	668
29616244_64011069	4	-	blue	GNU C++14	77	31604
29616244_64021058	5	-	blue	GNU C++14	46	12
29616244_64015888	6	-	blue	GNU C++14	15	12
29597665_63996658	1	-	black	GNU C++14	31	4
29597665_63999749	2	-	black	GNU C++14	15	4
29597665_64005015	3	-	black	GNU C++14	30	868
29597665_64010801	4	-	black	GNU C++14	280	66964
29597665_64022796	5	-	black	GNU C++14	30	152
29597665_64014383	6	-	black	GNU C++14	15	8
29597262_64024063	1	United States	violet	GNU C++14	15	8
29597262_64027106	2	United States	violet	GNU C++14	46	4
29597262_63999349	3	United States	violet	GNU C++14	46	1132
29597262_64007938	4	United States	violet	GNU C++14	327	49376
29597262_64020913	5	United States	violet	GNU C++14	31	4
29597262_64013493	6	United States	violet	GNU C++14	30	12
29599766_63995955	1	-	black	GNU C++11	15	4
29599766_64016776	2	-	black	GNU C++11	30	28
29599766_64002111	3	-	black	GNU C++11	31	988
29599766_64006781	4	-	black	GNU C++11	280	95236
29599766_64022965	5	-	black	GNU C++11	31	16
29599766_64015031	6	-	black	GNU C++11	15	4
29598071_63998248	1	-	black	GNU C++11	31	0
29598071_64027202	2	-	black	GNU C++11	30	4
