ParticipantID	Rank	Country	ProblemA_id	ProblemA_memory	ProblemA_time	ProblemA_language	ProblemB_id	ProblemB_memory	ProblemB_time	ProblemB_language	ProblemC_id	ProblemC_memory	ProblemC_time	ProblemC_language
29608298	27	-	63996248	12	30	GNU C++14	64010462	148	31	GNU C++14	64000470	1068	31	GNU C++14	64023025	53596	342	GNU C++14	64032737	20	31	GNU C++14	64009130	156	31	GNU C++14
29616482	28	China	63996580	4	46	GNU C++17	64000023	8	30	GNU C++17	64002485	5332	46	GNU C++17	64014443	156	61	GNU C++17	64033713	3904	46	GNU C++17	64021517	12	15	GNU C++17
29568571	29	-	63996685	8	30	GNU C++17	64000695	144	30	GNU C++17	64003573	664	31	GNU C++17	64024766	49324	889	GNU C++17	64034280	152	31	GNU C++17	64015336	4	31	GNU C++17
29579543	30	Japan	63996768	8	15	GNU C++14	64000128	4	30	GNU C++14	64002824	4260	46	GNU C++14	64010700	49384	311	GNU C++14	64035960	16	15	GNU C++14	64025116	16	30	GNU C++14
29619356	31	China	64007330	4	30	GNU C++11	64011659	8	30	GNU C++11	63999487	4900	46	GNU C++11	64006492	49296	296	GNU C++11	64033401	12	31	GNU C++11	64026801	4	31	GNU C++11
29570332	32	China	63996069	4	31	GNU C++11	63998928	4	31	GNU C++11	64001201	1380	31	GNU C++11	64009001	31540	62	GNU C++11	64034380	8	31	GNU C++11	64027969	12	31	GNU C++11
29601105	33	United States	63997202	0	31	GNU C++17	64000110	0	30	GNU C++17	64005440	872	31	GNU C++17	64014930	49308	311	GNU C++17	64024249	0	31	GNU C++17	64035894	4	15	GNU C++17
29619822	34	China	63999324	4	15	GNU C++17	64001514	4	15	GNU C++11	64004304	484	31	GNU C++11	64012814	98548	592	GNU C++11	64027036	8	31	GNU C++11	64033110	8	31	GNU C++11
29595607	35	Belarus	63996283	4	31	GNU C++17	64000996	156	30	GNU C++17	64030709	676	31	GNU C++17	64010847	31620	93	GNU C++17	64028622	12	31	GNU C++17	64020638	12	15	GNU C++17
29573217	36	China	63996352	8	31	GNU C++11	64004423	4	31	GNU C++11	64010395	108	31	GNU C++11	64015932	62752	420	GNU C++11	64034187	8	31	GNU C++11	64021351	4	30	GNU C++11
