ParticipantID	Color	Rank	Country	Problem1_id	Problem1_memory	Problem1_time	Problem1_language	Problem2_id	Problem2_memory	Problem2_time	Problem2_language	Problem3_id	Problem3_memory	Problem3_time	Problem3_language	Problem4_id	Problem4_memory	Problem4_time	Problem4_language	Problem5_id	Problem5_memory	Problem5_time	Problem5_language	Problem6_id	Problem6_memory	Problem6_time	Problem6_language
29754715	blue	32	Japan	64374140	400	15	GNU C++17	64377946	324	31	GNU C++17	64386088	164	46	GNU C++17	64391229	296	46	GNU C++17	64399141	15520	202	GNU C++17	-	-	-	-
29768675	blue	33	Iran	64389468	8	46	GNU C++11	64387195	172	46	GNU C++11	64405376	4	124	GNU C++11	64380713	12	46	GNU C++11	64396070	11012	93	GNU C++11	-	-	-	-
29727403	blue	34	Бангладеш	64373748	16	31	GNU C++17	64377750	204	31	GNU C++17	64403843	152	31	GNU C++17	64385144	8	46	GNU C++17	64390156	15936	124	GNU C++17	NO	-	-	-
29784173	blue	35	-	64375191	8	31	GNU C++17	64377026	2516	31	GNU C++11	64417369	8	31	GNU C++14	64394146	8	46	GNU C++11	64389523	5700	78	GNU C++11	-	-	-	-
29780819	blue	35	Россия	64374507	8	31	GNU C++17	64379747	324	30	GNU C++17	64393204	160	249	GNU C++17	64385353	12	62	GNU C++17	64403120	15112	124	GNU C++17	-	-	-	-
29784969	blue	37	Индия	64377968	16	31	GNU C++17	64384218	436	31	GNU C++17	64394565	152	171	GNU C++17	64388719	4	46	GNU C++17	64399717	19904	171	GNU C++17	-	-	-	-
29784356	blue	38	Индия	64376529	0	139	Java 8	64382103	0	140	Java 8	64409388	0	124	Java 8	64387241	0	124	Java 8	64395348	10388	234	GNU C++17	-	-	-	-
29756166	blue	39	Belarus	64373798	12	31	GNU C++17	64378302	316	31	GNU C++17	64392719	4072	31	GNU C++17	64386470	5492	46	GNU C++17	64403490	6052	93	GNU C++17	-	-	-	-
29733166	blue	40	Индия	64383930	12	46	GNU C++14	64397779	316	31	GNU C++14	64405205	156	46	GNU C++14	64390904	12	31	GNU C++14	64381618	16104	171	GNU C++14	-	-	-	-
29759131	blue	41	-	64374998	23496	46	GNU C++14	64379200	5896	31	GNU C++14	64384709	5876	46	GNU C++14	64390095	4	31	GNU C++14	64403851	58580	218	GNU C++14	-	-	-	-
29758132	blue	42	Ukraine	64373641	248	31	GNU C++17	64377203	436	31	GNU C++17	64386651	160	46	GNU C++17	64387853	244	31	GNU C++17	64401294	17920	218	GNU C++17	NO	-	-	-
29733119	blue	43	-	64373534	4	31	GNU C++11	64376427	292	31	GNU C++11	64397534	4	46	GNU C++11	64384297	4	31	GNU C++11	64404520	11800	217	GNU C++11	-	-	-	-
29769088	blue	44	Россия	64390820	16	31	GNU C++14	64386039	64	15	GNU C++14	64381750	152	234	GNU C++14	64389408	60	31	GNU C++14	64402018	10264	109	GNU C++14	-	-	-	-
29764368	blue	45	China	64375583	8	15	GNU C++11	64380384	28	15	GNU C++11	64389584	4	46	GNU C++11	64394790	4900	31	GNU C++11	64400285	8468	78	GNU C++11	-	-	-	-
