SubmissionID	Problem_index	Participant_country	Participant_color	Language	Time	Memory
29778591_64374550	1	Armenia	gray	Python 3	249	1780
29778591_64376943	2	Armenia	gray	GNU C++17	46	352
29778591_64382237	3	Armenia	gray	GNU C++17	187	144
29778591_64384895	4	Armenia	gray	GNU C++17	46	8
29778591_64391286	5	Armenia	gray	GNU C++17	374	7384
29778591_64413060	6	Armenia	gray	GNU C++17	295	4392
29784051_64373589	1	Kazakhstan	blue	GNU C++17	31	400
29784051_64376875	2	Kazakhstan	blue	GNU C++17	62	360
29784051_64381285	3	Kazakhstan	blue	GNU C++17	171	148
29784051_64387481	4	Kazakhstan	blue	GNU C++17	46	244
29784051_64397713	5	Kazakhstan	blue	GNU C++17	187	17572
29784051_64408846	6	Kazakhstan	blue	GNU C++17	296	4836
29750391_64373694	1	Iran	blue	GNU C++17	46	4
29750391_64382975	2	Iran	blue	GNU C++17	31	312
29750391_64379711	3	Iran	blue	GNU C++17	217	160
29750391_64390976	4	Iran	blue	GNU C++17	46	240
29750391_64397869	5	Iran	blue	GNU C++17	93	8016
29750391_64417229	6	Iran	blue	GNU C++17	93	4072
29784011_64408041	1	United States	blue	GNU C++14	30	12
29784011_64410900	2	United States	blue	GNU C++14	31	60
29784011_64405340	4	United States	blue	GNU C++14	46	8
29784011_64387912	5	United States	blue	GNU C++14	77	4812
29784011_64399200	6	United States	blue	GNU C++14	373	4440
29731837_64373563	1	Brazil	blue	GNU C++11	31	8
29731837_64376252	2	Brazil	blue	GNU C++11	30	168
29731837_64392921	3	Brazil	blue	GNU C++11	155	16
29731837_64382337	4	Brazil	blue	GNU C++11	31	8
29731837_64386733	5	Brazil	blue	GNU C++11	249	30128
29735931_64373607	1	-	black	GNU C++14	46	8
29735931_64375532	2	-	black	GNU C++14	15	592
29735931_64382257	3	-	black	GNU C++14	46	8
29735931_64385693	4	-	black	GNU C++14	46	16
29735931_64389402	5	-	black	GNU C++14	78	7972
29782639_64373538	1	-	blue	GNU C++11	61	8
29782639_64376537	2	-	blue	GNU C++11	31	92
29782639_64380535	3	-	blue	GNU C++11	46	4
29782639_64385929	4	-	blue	GNU C++11	46	1964
29782639_64387675	5	-	blue	GNU C++11	61	6672
29780548_64381662	1	China	blue	GNU C++11	46	224
29780548_64399066	2	China	blue	GNU C++11	31	0
29780548_64394275	4	China	blue	GNU C++11	46	0
29780548_64408229	5	China	blue	GNU C++11	93	6020
29780548_64416699	6	China	blue	GNU C++11	405	43252
29729008_64378360	1	China	green	GNU C++11	31	12
29729008_64383882	2	China	green	GNU C++11	31	40
29729008_64394999	3	China	green	GNU C++11	31	4
29729008_64386198	4	China	green	GNU C++11	46	1036
29729008_64380388	5	China	green	GNU C++11	46	6748
29779259_64376936	1	-	black	GNU C++14	31	536
29779259_64379534	2	-	black	GNU C++14	31	312
29779259_64387075	3	-	black	GNU C++14	46	296
29779259_64382497	4	-	black	GNU C++14	46	148
29779259_64396146	5	-	black	GNU C++14	124	10288
29763194_64374179	1	-	blue	GNU C++11	46	12
29763194_64379185	2	-	blue	GNU C++11	15	64
29763194_64388632	3	-	blue	GNU C++11	46	4
29763194_64383809	4	-	blue	GNU C++11	31	8
29763194_64395794	5	-	blue	GNU C++11	171	7364
29784286_64380404	1	-	black	GNU C++17	46	12
29784286_64385521	2	-	black	GNU C++17	31	296
29784286_64389667	3	-	black	GNU C++17	31	152
29784286_64377823	4	-	black	GNU C++17	46	12
29784286_64394593	5	-	black	GNU C++17	202	16060
29782137_64373751	1	-	black	GNU C++14	46	12
29782137_64377760	2	-	black	GNU C++14	46	60
29782137_64386828	3	-	black	GNU C++14	202	8
29782137_64389605	4	-	black	GNU C++14	61	12
29782137_64392997	5	-	black	GNU C++14	202	17144
29762224_64374463	1	-	blue	GNU C++11	30	12
29762224_64384722	2	-	blue	GNU C++11	31	40
29762224_64401152	3	-	blue	GNU C++11	124	12
29762224_64376790	4	-	blue	GNU C++11	31	4
29762224_64394432	5	-	blue	GNU C++11	343	33492
29732891_64373629	1	Chile	blue	GNU C++17	31	8
29732891_64375586	2	Chile	blue	GNU C++17	31	452
29732891_64379896	3	Chile	blue	GNU C++17	46	392
29732891_64385883	4	Chile	blue	GNU C++17	62	8
29732891_64400786	5	Chile	blue	GNU C++17	139	9924
29782665_64373483	1	-	blue	GNU C++11	31	12
29782665_64377602	2	-	blue	GNU C++11	46	288
29782665_64404188	3	-	blue	GNU C++11	62	8
29782665_64378335	4	-	blue	GNU C++11	46	8
29782665_64397002	5	-	blue	GNU C++11	187	11264
29737096_64374884	1	Iran	blue	GNU C++17	31	12
29737096_64378450	2	Iran	blue	GNU C++17	30	176
29737096_64390999	3	Iran	blue	GNU C++17	31	148
29737096_64383814	4	Iran	blue	GNU C++17	46	8
29737096_64396496	5	Iran	blue	GNU C++17	108	12408
29737746_64373477	1	Россия	blue	GNU C++17	31	244
29737746_64377183	2	Россия	blue	GNU C++17	31	316
29737746_64383775	3	Россия	blue	GNU C++17	31	244
29737746_64387181	4	Россия	blue	GNU C++17	31	244
29737746_64397563	5	Россия	blue	GNU C++17	171	13380
29730216_64375133	1	China	blue	GNU C++17	31	12
29730216_64379613	2	China	blue	GNU C++17	31	24
29730216_64397436	3	China	blue	GNU C++17	46	8
29730216_64382731	4	China	blue	GNU C++17	46	8076
29730216_64397111	5	China	blue	GNU C++17	78	9416
29781929_64374905	1	Индия	blue	GNU C++14	30	12
29781929_64377830	2	Индия	blue	GNU C++14	31	324
29781929_64400046	3	Индия	blue	GNU C++11	46	4
29781929_64387786	4	Индия	blue	GNU C++11	46	8
29781929_64393509	5	Индия	blue	GNU C++14	187	15136
29783475_64382026	1	-	blue	GNU C++17	30	8
29783475_64392445	2	-	blue	GNU C++17	31	56
29783475_64397171	3	-	blue	GNU C++17	30	152
29783475_64390718	4	-	blue	GNU C++17	46	1420
29783475_64379669	5	-	blue	GNU C++17	108	14160
29739350_64386801	1	China	blue	GNU C++14	30	12
29739350_64381713	2	China	blue	GNU C++14	31	24
29739350_64385438	3	China	blue	GNU C++14	61	8
29739350_64389650	4	China	blue	GNU C++14	46	8
29739350_64395735	5	China	blue	GNU C++14	109	7732
29745775_64374041	1	Россия	blue	GNU C++17	31	8
29745775_64377267	2	Россия	blue	GNU C++17	30	312
29745775_64383000	3	Россия	blue	GNU C++17	46	156
29745775_64387462	4	Россия	blue	GNU C++17	46	244
29745775_64398705	5	Россия	blue	GNU C++17	140	10616
29772626_64376860	1	-	black	GNU C++11	31	12
29772626_64383256	2	-	black	GNU C++11	46	44
29772626_64405312	3	-	black	GNU C++11	46	140
29772626_64378582	4	-	black	GNU C++11	46	4
29772626_64394447	5	-	black	GNU C++11	46	4916
29727919_64374004	1	Индия	blue	GNU C++14	31	8
29727919_64376971	2	Индия	blue	GNU C++14	31	440
29727919_64384435	3	Индия	blue	GNU C++14	46	216
29727919_64391176	4	Индия	blue	GNU C++14	46	52
29727919_64397737	5	Индия	blue	GNU C++14	124	7448
29781172_64375740	1	Brazil	blue	GNU C++14	46	400
29781172_64380455	2	Brazil	blue	GNU C++14	46	224
29781172_64388761	3	Brazil	blue	GNU C++14	46	152
29781172_64393530	4	Brazil	blue	GNU C++14	46	8
29781172_64395732	5	Brazil	blue	GNU C++14	109	8236
29735609_64373743	1	Индия	blue	GNU C++14	46	16
29735609_64377395	2	Индия	blue	GNU C++14	15	312
29735609_64412908	3	Индия	blue	GNU C++14	31	156
29735609_64384619	4	Индия	blue	GNU C++14	31	8
29735609_64391171	5	Индия	blue	GNU C++14	218	74300
29783578_64373796	1	-	blue	GNU C++14	15	8
29783578_64396035	2	-	blue	GNU C++14	46	2400
29783578_64410599	3	-	blue	GNU C++14	46	2508
29783578_64381389	4	-	blue	GNU C++14	31	8
29783578_64392095	5	-	blue	GNU C++14	93	8208
29755908_64375596	1	-	blue	GNU C++11	31	8
29755908_64380075	2	-	blue	GNU C++11	46	64
29755908_64387548	3	-	blue	GNU C++11	46	4
29755908_64390916	4	-	blue	GNU C++11	31	12
29755908_64399751	5	-	blue	GNU C++11	155	11604
29783864_64375548	1	-	cyan	GNU C++11	31	8
29783864_64379817	2	-	cyan	GNU C++11	62	44
29783864_64394735	3	-	cyan	GNU C++11	155	4
29783864_64386161	4	-	cyan	GNU C++11	31	8
29783864_64398715	5	-	cyan	GNU C++11	46	33472
29731680_64392861	1	China	blue	GNU C++14	31	12
29731680_64395070	2	China	blue	GNU C++14	30	28
29731680_64406570	3	China	blue	GNU C++14	62	172
29731680_64391210	4	China	blue	GNU C++14	31	8
29731680_64385468	5	China	blue	GNU C++14	186	12732
29754715_64374140	1	Japan	blue	GNU C++17	15	400
29754715_64377946	2	Japan	blue	GNU C++17	31	324
29754715_64386088	3	Japan	blue	GNU C++17	46	164
29754715_64391229	4	Japan	blue	GNU C++17	46	296
29754715_64399141	5	Japan	blue	GNU C++17	202	15520
29768675_64389468	1	Iran	blue	GNU C++11	46	8
29768675_64387195	2	Iran	blue	GNU C++11	46	172
29768675_64405376	3	Iran	blue	GNU C++11	124	4
29768675_64380713	4	Iran	blue	GNU C++11	46	12
29768675_64396070	5	Iran	blue	GNU C++11	93	11012
29727403_64373748	1	Бангладеш	blue	GNU C++17	31	16
29727403_64377750	2	Бангладеш	blue	GNU C++17	31	204
29727403_64403843	3	Бангладеш	blue	GNU C++17	31	152
29727403_64385144	4	Бангладеш	blue	GNU C++17	46	8
29727403_64390156	5	Бангладеш	blue	GNU C++17	124	15936
29784173_64375191	1	-	blue	GNU C++17	31	8
29784173_64377026	2	-	blue	GNU C++11	31	2516
29784173_64417369	3	-	blue	GNU C++14	31	8
29784173_64394146	4	-	blue	GNU C++11	46	8
29784173_64389523	5	-	blue	GNU C++11	78	5700
29780819_64374507	1	Россия	blue	GNU C++17	31	8
29780819_64379747	2	Россия	blue	GNU C++17	30	324
29780819_64393204	3	Россия	blue	GNU C++17	249	160
29780819_64385353	4	Россия	blue	GNU C++17	62	12
29780819_64403120	5	Россия	blue	GNU C++17	124	15112
29784969_64377968	1	Индия	blue	GNU C++17	31	16
29784969_64384218	2	Индия	blue	GNU C++17	31	436
29784969_64394565	3	Индия	blue	GNU C++17	171	152
29784969_64388719	4	Индия	blue	GNU C++17	46	4
29784969_64399717	5	Индия	blue	GNU C++17	171	19904
29784356_64376529	1	Индия	blue	Java 8	139	0
29784356_64382103	2	Индия	blue	Java 8	140	0
29784356_64409388	3	Индия	blue	Java 8	124	0
29784356_64387241	4	Индия	blue	Java 8	124	0
29784356_64395348	5	Индия	blue	GNU C++17	234	10388
29756166_64373798	1	Belarus	blue	GNU C++17	31	12
29756166_64378302	2	Belarus	blue	GNU C++17	31	316
29756166_64392719	3	Belarus	blue	GNU C++17	31	4072
29756166_64386470	4	Belarus	blue	GNU C++17	46	5492
29756166_64403490	5	Belarus	blue	GNU C++17	93	6052
29733166_64383930	1	Индия	blue	GNU C++14	46	12
29733166_64397779	2	Индия	blue	GNU C++14	31	316
29733166_64405205	3	Индия	blue	GNU C++14	46	156
