SubmissionID	Problem_index	Participant_country	Participant_color	Language	Time	Memory
29090425_62793808	1	-	black	Kotlin	171	100
29090425_62796367	2	-	black	Python 3	124	16
29090425_62791588	3	-	black	FPC	311	8
29090425_62808684	5	-	black	GNU C11	46	3920
29090425_62811108	6	-	black	GNU C++17	826	38912
29058912_62784582	1	United States	violet	GNU C++17	31	8
29058912_62786209	2	United States	violet	GNU C++17	46	8
29058912_62792622	3	United States	violet	GNU C++17	46	716
29058912_62802950	4	United States	violet	GNU C++17	373	11140
29058912_62812842	5	United States	violet	GNU C++17	140	51896
29053879_62784627	1	China	violet	GNU C++17	31	8
29053879_62787426	2	China	violet	GNU C++17	31	8
29053879_62791071	3	China	violet	GNU C++17	46	3924
29053879_62812650	4	China	violet	GNU C++17	171	15844
29053879_62804306	5	China	violet	GNU C++17	249	12744
29088469_62784321	1	Россия	black	GNU C++17	31	4
29088469_62787186	2	Россия	black	GNU C++17	31	8
29088469_62789610	3	Россия	black	GNU C++17	46	428
29088469_62812836	4	Россия	black	GNU C++17	156	18540
29088469_62804069	5	Россия	black	GNU C++17	187	8564
29087161_62785968	1	Germany	violet	GNU C++14	46	8
29087161_62788924	2	Germany	violet	GNU C++14	31	8
29087161_62791879	3	Germany	violet	GNU C++14	46	1296
29087161_62802625	4	Germany	violet	GNU C++14	187	34552
29087161_62813891	5	Germany	violet	GNU C++14	62	4708
29089808_62783805	1	-	violet	GNU C++11	31	8
29089808_62792966	2	-	violet	GNU C++11	31	8
29089808_62789897	3	-	violet	GNU C++11	46	12
29089808_62815190	4	-	violet	GNU C++11	93	8792
29089808_62807146	5	-	violet	GNU C++11	93	796
29054986_62784292	1	Japan	violet	GNU C++14	30	16
29054986_62790776	2	Japan	violet	GNU C++14	46	20
29054986_62794126	3	Japan	violet	GNU C++14	46	428
29054986_62803700	4	Japan	violet	GNU C++14	343	47184
29054986_62814095	5	Japan	violet	GNU C++14	187	4520
29091733_62799939	1	-	violet	GNU C++17	31	8
29091733_62793499	2	-	violet	GNU C++17	31	8
29091733_62795764	3	-	violet	GNU C++17	46	1284
29091733_62813698	4	-	violet	GNU C++17	124	10628
29091733_62805221	5	-	violet	GNU C++17	265	16404
29090440_62784596	1	China	blue	GNU C++17	31	8
29090440_62788719	2	China	blue	GNU C++17	31	8
29090440_62792967	3	China	blue	GNU C++17	46	444
29090440_62812781	4	China	blue	GNU C++17	155	7892
29090440_62811322	5	China	blue	GNU C++17	139	4176
29074379_62785095	1	China	violet	GNU C++11	30	8
29074379_62790312	2	China	violet	GNU C++11	46	8
29074379_62790282	3	China	violet	GNU C++11	46	8
29074379_62814654	4	China	violet	GNU C++11	171	33720
29074379_62812238	5	China	violet	GNU C++11	109	5972
29089740_62785056	1	Россия	violet	Java 8	124	0
29089740_62788960	2	Россия	violet	Java 8	140	0
29089740_62791984	3	Россия	violet	Java 8	155	0
29089740_62805316	5	Россия	violet	Java 8	155	0
29089658_62790291	1	-	violet	GNU C++17	30	0
29089658_62785414	2	-	violet	GNU C++17	31	0
29089658_62793895	3	-	violet	GNU C++17	46	352
29089658_62805891	5	-	violet	GNU C++17	62	5860
29090253_62784662	1	Japan	violet	GNU C++14	31	8
29090253_62786772	2	Japan	violet	GNU C++14	46	8
29090253_62789462	3	Japan	violet	GNU C++14	46	712
29090253_62807935	5	Japan	violet	GNU C++14	124	6460
29071421_62784215	1	South Korea	violet	GNU C++17	46	796
29071421_62787247	2	South Korea	violet	GNU C++17	31	8
29071421_62790719	3	South Korea	violet	GNU C++17	46	388
29071421_62803442	4	South Korea	violet	GNU C++17	265	31584
29050345_62784012	1	Индия	violet	GNU C++14	31	12
29050345_62786648	2	Индия	violet	GNU C++14	46	8
29050345_62789824	3	Индия	violet	GNU C++14	46	700
29050345_62805006	4	Индия	violet	GNU C++14	124	11408
29028510_62783846	1	-	blue	GNU C++14	31	8
29028510_62784848	2	-	blue	GNU C++14	46	8
29028510_62786960	3	-	blue	GNU C++14	46	372
29028510_62803249	4	-	blue	GNU C++14	93	4700
29050098_62784720	1	-	violet	GNU C++17	31	12
29050098_62788974	2	-	violet	GNU C++17	46	12
29050098_62793187	3	-	violet	GNU C++17	46	12
29050098_62804002	4	-	violet	GNU C++17	171	36096
29087808_62784658	1	-	violet	GNU C++11	31	8
29087808_62787295	2	-	violet	GNU C++11	31	12
29087808_62790332	3	-	violet	GNU C++11	46	1032
29087808_62802909	4	-	violet	GNU C++11	62	6908
29086779_62784976	1	South Korea	violet	GNU C++17	31	0
29086779_62787730	2	South Korea	violet	GNU C++17	46	0
29086779_62791408	3	South Korea	violet	GNU C++17	46	408
29086779_62805902	4	South Korea	violet	GNU C++17	311	30000
29063719_62784753	1	-	blue	GNU C++14	31	8
29063719_62787714	2	-	blue	GNU C++14	46	8
29063719_62792941	3	-	blue	GNU C++14	46	1636
29063719_62806423	4	-	blue	GNU C++14	93	4704
29059290_62785624	1	Россия	violet	Java 8	124	0
29059290_62788331	2	Россия	violet	Java 8	124	0
29059290_62791006	3	Россия	violet	Java 8	140	0
29059290_62804112	4	Россия	violet	Java 8	327	16980
29068052_62784750	1	Japan	violet	GNU C++17	31	12
29068052_62788112	2	Japan	violet	GNU C++17	31	12
29068052_62795913	3	Japan	violet	GNU C++17	61	1500
29068052_62804288	4	Japan	violet	GNU C++17	108	7488
29089830_62784565	1	-	violet	PyPy 3	140	24
29089830_62786826	2	-	violet	PyPy 3	155	56
29089830_62795925	3	-	violet	PyPy 3	233	6252
