ParticipantID	Rank	Country	ProblemA_id	ProblemA_memory	ProblemA_time	ProblemA_language	ProblemB_id	ProblemB_memory	ProblemB_time	ProblemB_language	ProblemC_id	ProblemC_memory	ProblemC_time	ProblemC_language
28928771	24	China	62467283	12	31	GNU C++11	62471715	16	31	GNU C++11	62484711	8	31	GNU C++11	62483038	13300	436	GNU C++11	62488006	3572	93	GNU C++11	-	-	-	-	62498442	17336	858	GNU C++11
28918547	25	Tunisia	62465954	12	31	GNU C++14	62470580	16	31	GNU C++14	62479152	12	31	GNU C++14	62482866	34992	811	GNU C++14	62489071	31720	62	GNU C++14	-	-	-	-	62500029	16652	421	GNU C++14
28910382	26	China	62466333	16	30	GNU C++14	62465554	116	31	GNU C++14	62486363	12	31	GNU C++14	62475279	11004	280	GNU C++14	62485680	6496	140	GNU C++14	62494909	12740	46	GNU C++14	-	-	-	-
28900834	27	-	62463601	8	46	GNU C++17	62465647	12	31	GNU C++17	62492062	12	31	GNU C++17	62474689	10496	889	GNU C++17	62479443	788	77	GNU C++17	62499686	972	46	GNU C++17	-	-	-	-
28934828	28	Croatia	62463827	12	31	GNU C++11	62466660	12	46	GNU C++11	62472591	12	93	GNU C++11	62480760	13316	1060	GNU C++11	62484288	800	249	GNU C++11	62502396	10852	93	GNU C++11	-	-	-	-
28903084	29	-	62474940	16	15	GNU C++14	62473630	16	31	GNU C++14	62473318	16	46	GNU C++14	62479007	40884	217	GNU C++14	62482367	3716	139	GNU C++14	62497897	3932	46	GNU C++14	NO	-	-	-
28894590	30	-	62466076	16	31	GNU C++14	62469474	112	31	GNU C++14	62472263	16	31	GNU C++14	62478256	19564	265	GNU C++14	62489399	1580	78	GNU C++14	62496057	5212	78	GNU C++14	-	-	-	-
28934789	31	China	62466463	16	46	GNU C++11	62469168	12	31	GNU C++11	62486007	12	31	GNU C++11	62491652	10176	62	GNU C++11	62476599	2364	265	GNU C++11	62499169	2364	31	GNU C++11	-	-	-	-
28924748	32	-	62489235	16	31	GNU C++17	62491317	20	31	GNU C++17	62500419	268	124	Python 3	62470503	10860	218	GNU C++17	62479603	5412	280	GNU C++17	62487865	4056	46	GNU C++17	-	-	-	-
28909307	33	South Korea	62465347	12	31	GNU C++14	62469573	16	31	GNU C++14	62475219	12	31	GNU C++14	62481252	9180	249	GNU C++14	62485479	804	62	GNU C++14	62501340	1000	46	GNU C++14	-	-	-	-
