SubmissionID	Problem_index	Participant_country	Participant_color	Language	Time	Memory
28934535_62466123	1	-	blue	GNU C++11	31	8
28934535_62467959	2	-	blue	GNU C++11	31	104
28934535_62471680	3	-	blue	GNU C++11	31	12
28934535_62485326	4	-	blue	GNU C++11	155	6300
28934535_62487832	5	-	blue	GNU C++11	249	796
28934535_62476907	6	-	blue	GNU C++11	46	10804
28934535_62480107	7	-	blue	GNU C++11	420	3924
28925463_62464793	1	China	violet	GNU C++14	30	16
28925463_62468158	2	China	violet	GNU C++14	31	16
28925463_62473970	3	China	violet	GNU C++14	31	16
28925463_62477683	4	China	violet	GNU C++14	218	12124
28925463_62480584	5	China	violet	GNU C++14	62	800
28925463_62486766	6	China	violet	GNU C++14	46	3928
28925463_62491796	7	China	violet	GNU C++14	358	3928
28926600_62464086	1	China	violet	GNU C++11	31	8
28926600_62464148	2	China	violet	GNU C++11	31	828
28926600_62478090	3	China	violet	Python 3	124	284
28926600_62472795	4	China	violet	GNU C++11	155	22904
28926600_62471612	5	China	violet	GNU C++11	31	23552
28926600_62497660	6	China	violet	GNU C++11	31	408
28926600_62483655	7	China	violet	GNU C++11	405	4728
28933479_62466602	1	-	blue	GNU C++11	31	8
28933479_62469867	2	-	blue	GNU C++11	46	12
28933479_62477877	3	-	blue	GNU C++11	46	12
28933479_62474275	4	-	blue	GNU C++11	390	16092
28933479_62475861	5	-	blue	GNU C++11	498	1576
28933479_62497231	6	-	blue	GNU C++17	46	3148
28933479_62495208	7	-	blue	GNU C++11	967	15664
28935245_62465923	1	China	violet	GNU C++11	31	12
28935245_62471265	2	China	violet	GNU C++11	31	16
28935245_62474334	3	China	violet	GNU C++11	46	16
28935245_62479070	4	China	violet	GNU C++11	62	36444
28935245_62486535	5	China	violet	GNU C++11	187	1188
28935245_62492999	6	China	violet	GNU C++11	46	796
28935245_62499859	7	China	violet	GNU C++11	109	11756
28933193_62464447	1	China	blue	GNU C++11	46	1772
28933193_62468289	2	China	blue	GNU C++11	31	1772
28933193_62473816	3	China	blue	GNU C++11	31	1772
28933193_62488986	4	China	blue	GNU C++11	171	8904
28933193_62479379	5	China	blue	GNU C++11	93	1776
28933193_62493234	6	China	blue	GNU C++11	77	1772
28933193_62498484	7	China	blue	GNU C++11	904	16648
28935712_62464989	1	-	blue	GNU C++17	31	16
28935712_62470934	2	-	blue	GNU C++17	31	20
28935712_62473208	3	-	blue	GNU C++17	31	20
28935712_62484645	4	-	blue	GNU C++17	296	38976
28935712_62488595	5	-	blue	GNU C++17	124	3324
28935712_62492928	6	-	blue	GNU C++17	61	3316
28935712_62497339	7	-	blue	GNU C++17	483	24684
28912755_62464905	1	South Korea	violet	GNU C++14	31	12
28912755_62468364	2	South Korea	violet	GNU C++14	46	20
28912755_62476151	4	South Korea	violet	GNU C++14	171	30176
28912755_62479897	5	South Korea	violet	GNU C++14	62	3928
28912755_62488841	6	South Korea	violet	GNU C++14	62	8340
28912755_62483129	7	South Korea	violet	GNU C++14	436	3932
28931689_62464254	1	-	blue	GNU C++11	46	12
28931689_62468024	2	-	blue	GNU C++11	31	12
28931689_62473668	3	-	blue	GNU C++11	31	12
28931689_62481028	4	-	blue	GNU C++11	374	29632
28931689_62486004	5	-	blue	GNU C++11	109	2364
28931689_62496876	6	-	blue	GNU C++11	61	4440
28931689_62500589	7	-	blue	GNU C++11	842	7840
28936301_62465585	1	China	violet	GNU C++14	46	12
28936301_62466207	2	China	violet	GNU C++11	31	312
28936301_62477041	3	China	violet	GNU C++11	31	208
28936301_62481710	4	China	violet	GNU C++14	280	23044
28936301_62494290	5	China	violet	GNU C++11	62	796
28936301_62489625	6	China	violet	GNU C++11	46	1968
28936301_62490894	7	China	violet	GNU C++14	467	31324
28910329_62464807	1	Japan	blue	GNU C++17	31	12
28910329_62466240	2	Japan	blue	GNU C++11	31	12
28910329_62495125	3	Japan	blue	GNU C++17	31	8
28910329_62472497	4	Japan	blue	GNU C++11	186	9796
28910329_62482838	5	Japan	blue	GNU C++17	140	5860
28910329_62495061	6	Japan	blue	GNU C++11	46	5884
28910329_62499284	7	Japan	blue	GNU C++11	421	7840
28926426_62464806	1	-	violet	GNU C++14	30	16
28926426_62469290	2	-	violet	GNU C++14	31	24
28926426_62480440	4	-	violet	GNU C++14	171	13212
28926426_62484611	5	-	violet	GNU C++14	78	1848
28926426_62494792	6	-	violet	GNU C++14	46	4376
28926426_62501144	7	-	violet	GNU C++14	374	71552
28926653_62497112	1	-	blue	GNU C++14	46	8
28926653_62496223	2	-	blue	GNU C++14	31	208
