ParticipantID	Rank	Country	ProblemA_id	ProblemA_memory	ProblemA_time	ProblemA_language	ProblemB_id	ProblemB_memory	ProblemB_time	ProblemB_language	ProblemC_id	ProblemC_memory	ProblemC_time	ProblemC_language
29178497	1	-	62979317	12	78	GNU C++17	62982231	408	46	GNU C++17	62977501	408	46	GNU C++17	62994883	4632	218	GNU C++17	-	-	-	-	62985708	9592	187	GNU C++17	62993845	92468	1184	GNU C++17
29138621	2	China	62977969	144	93	GNU C++17	62980110	788	62	GNU C++17	62984679	796	46	GNU C++17	62993569	4	202	GNU C++17	-	-	-	-	-	-	-	-	62998618	79256	748	GNU C++17
29171429	3	Spain	62978225	4	78	GNU C++17	62981055	788	61	GNU C++17	62987113	2564	31	GNU C++17	62992994	8	186	GNU C++17	-	-	-	-	-	-	-	-	63004376	62016	1013	GNU C++17
29175229	4	-	62977588	8	93	GNU C++14	62979292	792	61	GNU C++14	62992373	9380	46	GNU C++14	62997000	16	187	GNU C++14	-	-	-	-	-	-	-	-	63001516	59200	826	GNU C++14
29138182	5	Индия	62977692	8	77	GNU C++17	62979961	400	46	GNU C++17	62990888	1576	30	GNU C++17	62994405	16	343	GNU C++17	-	-	-	-	-	-	-	-	63005145	78156	748	GNU C++17
29178199	6	-	62977600	132	78	GNU C++14	62980992	536	62	GNU C++14	62990326	780	46	GNU C++14	62997123	136	280	GNU C++14	-	-	-	-	-	-	-	-	63007254	62280	717	GNU C++14
29136030	6	Индия	62977679	4	77	GNU C++14	62979799	780	61	GNU C++14	62991798	1576	30	GNU C++14	62999879	152	592	GNU C++14	-	-	-	-	-	-	-	-	63006725	63388	686	GNU C++14
29179520	8	-	62978301	4	46	GNU C++11	62981220	400	46	GNU C++11	62987434	3140	31	GNU C++11	62995062	16	202	GNU C++11	-	-	-	-	63003347	16788	171	GNU C++11	NO	-	-	-
29175208	9	China	62980908	8	155	GNU C++11	62982692	9672	93	GNU C++11	62987346	46972	31	GNU C++11	63003271	14536	795	GNU C++11	-	-	-	-	-	-	-	-	63007421	47364	1949	GNU C++11
29172037	10	China	62977684	4	78	GNU C++17	62978096	796	140	GNU C++17	62987305	800	31	GNU C++17	-	-	-	-	-	-	-	-	NO	-	-	-	63002656	58944	967	GNU C++17
29181075	11	-	62981014	4	31	GNU C++11	62982064	792	46	GNU C++11	62995225	3924	46	GNU C++11	63000150	8	421	GNU C++11	-	-	-	-	-	-	-	-	63007898	138888	420	GNU C++11
29168997	12	China	62982770	8	62	GNU C++11	62982362	792	78	GNU C++11	62994509	1572	31	GNU C++11	62999671	16	390	GNU C++11	-	-	-	-	-	-	-	-	63005627	63584	452	GNU C++11
29141938	13	China	62977469	8	436	GNU C++11	62978497	400	156	GNU C++11	63000614	3140	31	GNU C++11	62994350	16	405	GNU C++11	-	-	-	-	-	-	-	-	63007696	57152	545	GNU C++11
29164926	14	-	62977721	4	62	GNU C++14	62981072	404	46	GNU C++14	62991483	8204	46	GNU C++14	62998586	8	93	GNU C++14	-	-	-	-	-	-	-	-	63008967	68872	624	GNU C++14
29180351	15	Taiwan	62977859	4	62	GNU C++17	62981976	408	61	GNU C++17	62996125	412	31	GNU C++17	63000530	12	202	GNU C++17	-	-	-	-	-	-	-	-	63006462	78496	717	GNU C++17
29179986	16	-	62979794	4	93	GNU C++14	62984594	788	62	GNU C++14	63009114	792	31	GNU C++14	62992886	12	468	GNU C++14	-	-	-	-	-	-	-	-	63004460	88648	1169	GNU C++14
29154157	17	China	62977868	136	31	GNU C++14	62980955	528	31	GNU C++14	62993964	532	31	GNU C++14	-	-	-	-	-	-	-	-	-	-	-	-	63004125	59076	623	GNU C++14
29180963	18	-	62980509	8	78	GNU C++14	62980611	792	61	GNU C++14	62985766	792	31	GNU C++14	62991824	304	108	GNU C++14	63005552	1480	46	GNU C++14	-	-	-	-	-	-	-	-
