SubmissionID	Problem_index	Participant_country	Participant_color	Language	Time	Memory
29152510_62978054	1	China	cyan	GNU C++11	140	8
29152510_62980972	2	China	cyan	GNU C++11	78	400
29152510_62991153	3	China	cyan	GNU C++11	31	792
29152510_63008715	7	China	cyan	GNU C++11	436	58372
29177192_62998912	1	-	black	GNU C++11	140	4
29177192_63000439	2	-	black	GNU C++11	93	400
29177192_63007127	3	-	black	GNU C++14	30	15664
29177192_62995862	7	-	black	GNU C++11	1325	87724
29142480_62977897	1	-	blue	GNU C++11	62	4
29142480_62984098	2	-	blue	GNU C++11	46	400
29142480_62996061	3	-	blue	GNU C++11	61	1572
29142480_63008249	7	-	blue	GNU C++11	498	139364
29180603_62979882	1	-	cyan	GNU C++14	77	8
29180603_62983809	2	-	cyan	GNU C++14	62	796
29180603_63004773	3	-	cyan	GNU C++14	31	796
29180603_63003876	7	-	cyan	GNU C++14	686	174596
29179656_62979244	1	China	cyan	GNU C++11	31	8
29179656_62982565	2	China	cyan	GNU C++11	46	792
29179656_63008036	3	China	cyan	GNU C++11	31	1568
29179656_63003480	7	China	cyan	GNU C++11	265	64972
29179554_62980777	1	-	black	GNU C++11	31	8
29179554_62989896	2	-	black	GNU C++11	31	396
29179554_62996868	3	-	black	GNU C++11	46	31320
29179554_63003611	7	-	black	GNU C++11	280	55452
29178919_62996845	6	-	blue	GNU C++14	171	13532
29178919_62991354	7	-	blue	GNU C++14	1122	95512
29149006_62992393	1	Россия	green	GNU C++14	78	8
29149006_62993705	2	Россия	green	GNU C++14	46	792
29149006_62999637	4	Россия	green	GNU C++14	108	15272
29149006_62991550	7	Россия	green	GNU C++14	1060	63752
29179434_62979034	1	Россия	blue	MS C++ 2017	202	12
29179434_62981708	2	Россия	blue	MS C++ 2017	109	404
29179434_62989105	3	Россия	blue	MS C++ 2017	31	400
29179434_63004996	4	Россия	blue	MS C++ 2017	31	12
29179434_63004892	5	Россия	blue	MS C++ 2017	31	1788
29170209_62977608	1	China	blue	GNU C++14	77	8
29170209_62979386	2	China	blue	GNU C++14	62	7840
29170209_63003582	3	China	blue	GNU C++14	31	4704
29170209_63000506	4	China	blue	GNU C++14	31	40516
29170209_63000450	5	China	blue	GNU C++14	451	40516
29178983_63005202	1	China	black	GNU C++17	93	4
29178983_63005267	2	China	black	GNU C++17	62	400
29178983_63005429	3	China	black	GNU C++17	31	396
29178983_63005480	4	China	black	GNU C++17	124	1480
29178983_63005570	7	China	black	GNU C++17	623	83172
29179014_62977758	1	-	blue	Java 8	405	0
29179014_62981056	2	-	blue	Java 8	264	0
29179014_63002480	4	-	blue	Java 8	140	0
29179014_63002417	5	-	blue	Java 8	202	0
29179014_63008790	6	-	blue	Java 8	482	6956
29147013_62978553	1	China	blue	GNU C++17	124	788
29147013_62984214	2	China	blue	GNU C++17	46	400
29147013_62991103	3	China	blue	GNU C++17	31	796
29147013_63006331	6	China	blue	GNU C++14	124	5984
29180640_62980082	1	Poland	black	GNU C++11	124	8
29180640_62988334	2	Poland	black	GNU C++11	78	788
29180640_62994071	3	Poland	black	GNU C++11	31	8
29180640_63008740	4	Poland	black	GNU C++11	31	8
29180640_63009005	5	Poland	black	GNU C++11	31	1408
29179469_62980313	1	-	blue	GNU C++11	451	4
29179469_62983356	2	-	blue	GNU C++11	186	396
29179469_63008106	3	-	blue	GNU C++11	31	796
29179469_62989621	4	-	blue	GNU C++11	374	88
29179469_63003805	5	-	blue	GNU C++11	265	8224
29145865_62979114	1	Vietnam	blue	GNU C++14	77	4
29145865_62983401	2	Vietnam	blue	GNU C++14	62	1580
29145865_62993627	7	Vietnam	blue	GNU C++14	670	62424
29179914_62981105	1	Czechia	blue	GNU C++17	61	12
29179914_62985284	2	Czechia	blue	GNU C++17	62	8800
29179914_63006981	3	Czechia	blue	GNU C++17	31	8
29179914_63002408	4	Czechia	blue	GNU C++17	46	1116
29179914_63002507	5	Czechia	blue	GNU C++17	31	1112
29168828_62978827	1	China	blue	GNU C++17	77	4
29168828_62981462	2	China	blue	GNU C++17	46	1572
29168828_63001411	3	China	blue	GNU C++17	31	1576
29168828_63008422	4	China	blue	GNU C++17	31	4412
29168828_63008653	5	China	blue	GNU C++17	31	4412
29180041_62977771	1	Россия	blue	GNU C++14	389	780
29180041_62980953	2	Россия	blue	GNU C++14	140	776
29180041_62986682	3	Россия	blue	GNU C++14	31	776
29180041_62993153	4	Россия	blue	GNU C++14	389	8
29179583_62978112	1	Poland	cyan	GNU C++17	77	4
29179583_62980143	2	Poland	cyan	GNU C++11	46	792
29179583_62995127	4	Poland	cyan	GNU C++11	156	304
29179583_63005000	7	Poland	cyan	GNU C++11	935	73484
29138229_62977839	1	Japan	blue	GNU C++17	78	8
29138229_62979943	2	Japan	blue	GNU C++17	46	404
29138229_62988935	3	Japan	blue	GNU C++17	31	1576
29138229_62994295	4	Japan	blue	GNU C++17	249	8
29178685_62978343	1	Индия	cyan	GNU C++17	78	500
29178685_62981933	2	Индия	cyan	GNU C++17	61	1272
29178685_62998183	7	Индия	cyan	GNU C++17	935	64696
29174070_62979697	1	-	blue	GNU C++17	77	0
29174070_62982444	2	-	blue	GNU C++17	46	376
29174070_62988792	3	-	blue	GNU C++17	31	376
29174070_62993846	4	-	blue	GNU C++17	202	12
29178434_62978525	1	China	blue	GNU C++17	78	4
29178434_62981925	2	China	blue	GNU C++17	61	400
29178434_62997920	7	China	blue	GNU C++17	748	244840
29176185_62977647	1	Belarus	blue	GNU C++17	77	4
29176185_62980205	2	Belarus	blue	GNU C++14	61	8804
29176185_62988150	3	Belarus	blue	GNU C++14	31	17600
29176185_62994379	4	Belarus	blue	GNU C++14	78	8
