p_value,token,india_mean,china_mean,india_var,china_var
2.8240230009167336e-05,lli,0.10294117647058823,0.036755386565272496,0.09268504449750381,0.03544935760102423
0.0005872297105425495,power,0.09926470588235294,0.043092522179974654,0.08974115476448881,0.041287886098833604
0.0006302411018568067,cnt1,0.07720588235294118,0.020278833967046894,0.13054862166268721,0.03004509981792798
0.0009003732336810621,INF,0.2536764705882353,0.15716096324461343,0.212163555459084,0.15547213268739588
0.0011458747243530834,unsigned,0.5220588235294118,0.08745247148288973,12.634197959626656,0.48345911099959465
0.0012093945349959656,col,0.03676470588235294,0.1394169835234474,0.050303885391795096,0.254649913467539
0.0013929550966516398,ii,0.4264705882352941,0.1267427122940431,3.714130670718472,1.1006671684906038
0.0019452275809721934,start,0.07352941176470588,0.0076045627376425855,0.2897764271760364,0.022784736831946883
0.002869072207559131,F,0.33088235294117646,0.07604562737642585,3.8974929455176905,0.6363417034992569
0.002983517656642465,T2,0.3382352941176471,0.11533586818757921,2.652702409377035,0.6123152741052413
0.0030964812669486,pragma,0.19117647058823528,0.057034220532319393,1.0703277621011504,0.18836733512188533
0.005190059404605456,ans1,0.10294117647058823,0.049429657794676805,0.12220533970045586,0.05719827835787768
0.005600356510991485,ios,0.27205882352941174,0.13307984790874525,1.3500651182982417,0.21703885275327636
0.005904729419166461,0x3f3f3f3f,0.09191176470588236,0.032953105196451206,0.19447308443672678,0.05728834932092929
0.006206802721452271,c2,0.11397058823529412,0.18631178707224336,0.1013539179509442,0.15433016154870588
0.006850612794799044,NULL,0.03308823529411765,0.15716096324461343,0.06163175602344258,0.5488731479158222
0.007937011659212406,g,0.8088235294117647,0.44740177439797213,7.203169090514434,2.541963418321721
0.008564048837186724,set,0.10661764705882353,0.049429657794676805,0.14726231821141741,0.07750284688579646
0.008721017457571232,debug,0.11029411764705882,0.05576679340937896,0.18705231169958758,0.05272368158627835
0.012371104741045457,pre,0.022058823529411766,0.005069708491761723,0.021651834165400473,0.005050407571107809
0.012371104741045457,sizeof,0.022058823529411766,0.005069708491761723,0.021651834165400473,0.00505040757110781
0.01265766262248362,ld,0.125,0.24841571609632446,0.21309963099630996,0.5904955833059901
0.014737159326996794,getchar,0.5257352941176471,0.3574144486692015,1.777933036683308,0.6791993978112755
0.016419817930264577,Arg1,0.011029411764705883,0.048162230671736375,0.01094801389190363,0.06112923253105838
0.016965665729871852,continue;,0.14338235294117646,0.2902408111533587,0.388959735185587,0.8915416932054328
0.01949805322326908,->,0.13602941176470587,0.23827629911280102,0.1769996744085088,0.45838078142994076
0.020862246201830303,now,0.43014705882352944,0.13434727503168567,8.423146841762536,1.5453796812774636
0.021088400371405764,ed,0.0,0.026615969581749048,0.0,0.03609272162282141
0.0213918634381967,t2,0.09926470588235294,0.04055766793409379,0.274242999782939,0.0821093332818642
0.02196232868885617,Q,0.011029411764705883,0.10266159695817491,0.03308823529411763,0.42218833838374076
0.02648900496070264,id,0.29411764705882354,0.17237008871989862,1.1308877794660297,0.42710363951027125
0.03027417525364561,front,0.0,0.04182509505703422,0.0,0.10104031962324607
0.030358756626233566,t1,0.04411764705882353,0.10266159695817491,0.11612763186455398,0.15822894752079672
0.031467230878707474,<iomanip>,0.007352941176470588,0.06844106463878327,0.014705882352941175,0.21358398795622555
0.031744671265928906,"""%d%d""",0.025735294117647058,0.07477820025348543,0.05468580421098329,0.12257371343279738
0.033535393289238796,abs,0.18382352941176472,0.24714828897338403,0.15058606468417624,0.1888402076779062
0.03525954844679795,p1,0.10294117647058823,0.26996197718631176,0.5797699153462124,1.5069772828163903
0.035914686836174936,args,0.09558823529411764,0.051964512040557666,0.1974712394182765,0.04932671955118926
0.03652152513905062,db,0.05514705882352941,0.09632446134347275,0.0522981332754504,0.08715652403286302
0.037554407936392316,maxn,0.5992647058823529,0.4131812420785805,2.1746120034729755,1.4229732424903334
0.04035740766161141,long,2.849264705882353,2.434727503168568,11.40523930974604,7.164833079204544
0.041018147772462175,root,0.11397058823529412,0.16603295310519645,0.1013539179509442,0.14117980094317162
0.044090599747414326,sz,0.25735294117647056,0.1432192648922687,1.8006837421315387,0.25230485160808835
0.044758180027484794,"""-1""",0.003676470588235294,0.058301647655259824,0.003676470588235294,0.19964228960388078
0.04974662711025837,val,0.21691176470588236,0.14702154626108999,0.48783101801606266,0.17632677745395126
